Caida Libre;¿Desde qué altura se lanzó un objeto si al cabo de los 10 [s] llegó al suelo?;100 [m];200 [m];500 [m];Ninguna de las anteriores.;d
Lanzamiento de proyectil;Del lanzamiento de proyectil, es incorrecto decir:;Es un movimiento compuesto tanto por una posición x e y variables.;Es un movimiento compuesto tanto por una velocidad en x e y variables.;La gravedad afecta tanto al movimiento horizontal como vertical.;Ninguna de las anteriores.;c
Lanzamiento de proyectil;De la dirección en el eje x se puede decir:;Varía.;Es negativa.;Es positiva.;Ninguna de las anteriores.;c
Lanzamiento de proyectil;De la dirección en el eje y se puede decir:;Varia.;Es negativa.;Es positiva.;Ninguna de las anteriores.;a
Lanzamiento de proyectil;Si no existe fricción por el aire, se puede decir.;La velocidad en el eje x es constante.;La velocidad en el eje y varía.;a) y b) son correctas.;Ninguna de las anteriores.;c
Lanzamiento de proyectil;En respecto a la velocidad inicial, se puede decir que:;La velocidad se divide por la mitad y se asigna a cada eje.;La velocidad en cada eje posee la misma magnitud que la velocidad de lanzamiento;La velocidad en cada eje depende del angulo y velocidad de lanzamiento;Ninguna de las anteriores;c
Lanzamiento de proyectil;La magnitud de la velocidad del eje x a través del tiempo:;Disminuye;Aumenta;Se mantiene;Ninguna de las anteriores;c
Lanzamiento de proyectil;La magnitud de la velocidad del eje y a través del tiempo:;Varia;Aumenta;Disminuye;Ninguna de las anteriores;a
Lanzamiento de proyectil;La posición en el eje x en respecto al tiempo depende de:;La velocidad inicial;La velocidad inicial y la aceleración;La aceleración;Ninguna de las anteriores;a
Lanzamiento de proyectil;La posición en el eje y en respecto al tiempo depende de:;La velocidad inicial y la aceleración;La velocidad inicial;La aceleración;Ninguna de las anteriores;a
Lanzamiento de proyectil;¿De que depende la duración del lanzamiento de proyectil?;De la distancia recorrida en el eje x;De la distancia recorrida en el eje y;a) y b) son correctas;Ninguna de las anteriores;b
Lanzamiento de proyectil;Un proyectil se dispara horizontalmente desde una altura de 80m. (g=10 [m/s2]) el tiempo que dura el proyectil en el aire es;1 [s];4 [s];8 [s];Ninguna de las anteriores;b
Lanzamiento de proyectil;cuando se lanza un proyectil con ángulo de elevación con respecto a la horizontal, la magnitud de la velocidad en el punto más alto es:;la mitad de Vo;Nula;Igual a Vo;Ninguna de las anteriores;c
Lanzamiento de proyectil;En el tiempo de vuelo, decimos que un cuerpo tarda para una misma altura:;Más en subir que en bajar;Más en bajar que en subir;No se puede saber;Ninguna de las anteriores;d
Lanzamiento de proyectil;¿Cual de los dos ejes posee un vector velocidad acompañado por un Sen(a)? a=ángulo inicial;Eje y;Eje x;Depende;Ninguna de las anteriores;a
Lanzamiento de proyectil;¿Que magnitud es constante si el movimiento se realiza en el vacio?;Velocidad en x e y;Aceleración en x e y;Velocidad en x;Ninguna de las anteriores;c
Lanzamiento de proyectil;De las siguientes afirmaciones, identifique la falsa;En el lanzamiento de proyectil, la duración depende del movimiento en el eje x;La velocidad en el eje x es siempre constante;La velocidad en el eje y depende de la velocidad en el eje x;Ninguna de las anteriores;c
Lanzamiento de proyectil;De las siguientes afirmaciones, identifique la falsa;La masa no afecta el movimiento de ningún eje;Dos cuerpos de masa diferente caen en mismo lugar con diferente aceleración.;La velocidad en el eje x no varía en sentido ni dirección;Ninguna de las anteriores;b
Lanzamiento de proyectil;De las siguientes afirmaciones, identifique la falsa;Cuando un cuerpo esta sometido a varios movimientos, cada uno de ellos se cumple independientemente.;La velocidad del eje y depende tanto de la velocidad inicial, el ángulo inicial y la aceleración de gravedad;La gravedad no afecta en nada al eje x;Ninguna de las anteriores;d
Lanzamiento de proyectil;De las siguientes afirmaciones, identifique la verdadera;El objeto se demora más en subir que en bajar una misma altura;El alcance horizontal de un proyectil alcanzado con un ángulo de elevación es independiente del ángulo.;El objeto se demora más en bajar que en subir una misma altura;Ninguna de las anteriores;b
Lanzamiento de proyectil;De las siguientes afirmaciones, identifique la verdadera;Dos cuerpos de masa diferente caen en mismo lugar con diferente aceleración.;La velocidad en el eje y depende de la velocidad en el eje x;La velocidad en el eje x depende de la velocidad en el eje y;Ninguna de las anteriores;d
